LCLid,tstp,consumption,predicted
MAC000002,2013-10-13 00:30:00,0.234,0.13751665
MAC000002,2013-10-13 01:00:00,0.265,0.13313931
MAC000002,2013-10-13 01:30:00,0.212,0.12430231
MAC000002,2013-10-13 02:00:00,0.124,0.12164962
MAC000002,2013-10-13 02:30:00,0.123,0.10608165
MAC000002,2013-10-13 03:00:00,0.189,0.103516914
MAC000002,2013-10-13 03:30:00,0.154,0.113628834
MAC000002,2013-10-13 04:00:00,0.093,0.09882219
MAC000002,2013-10-13 04:30:00,0.125,0.11229172
MAC000002,2013-10-13 05:00:00,0.103,0.09997708
MAC000002,2013-10-13 05:30:00,0.113,0.11582948
MAC000002,2013-10-13 06:00:00,0.104,0.10793666
MAC000002,2013-10-13 06:30:00,0.114,0.1144929
MAC000002,2013-10-13 07:00:00,0.103,0.14177866
MAC000002,2013-10-13 07:30:00,0.114,0.14535809
MAC000002,2013-10-13 08:00:00,0.1,0.15102915
MAC000002,2013-10-13 08:30:00,0.12,0.12564637
MAC000002,2013-10-13 09:00:00,0.421,0.17452678
MAC000002,2013-10-13 09:30:00,0.154,0.1404308
MAC000002,2013-10-13 10:00:00,0.4,0.19161917
MAC000002,2013-10-13 10:30:00,0.564,0.17896505
MAC000002,2013-10-13 11:00:00,0.506,0.17765822
MAC000002,2013-10-13 11:30:00,0.549,0.19992201
MAC000002,2013-10-13 12:00:00,0.515,0.19830845
MAC000002,2013-10-13 12:30:00,0.145,0.2500898
MAC000002,2013-10-13 13:00:00,0.107,0.19460535
MAC000002,2013-10-13 13:30:00,0.103,0.21194607
MAC000002,2013-10-13 14:00:00,0.125,0.18952014
MAC000002,2013-10-13 14:30:00,0.452,0.21230395
MAC000002,2013-10-13 15:00:00,0.311,0.20717491
MAC000002,2013-10-13 15:30:00,0.515,0.21541114
MAC000002,2013-10-13 16:00:00,0.511,0.23556347
MAC000002,2013-10-13 16:30:00,0.101,0.22802572
MAC000002,2013-10-13 17:00:00,0.227,0.26225558
MAC000002,2013-10-13 17:30:00,0.255,0.24525863
MAC000002,2013-10-13 18:00:00,0.322,0.30948642
MAC000002,2013-10-13 18:30:00,0.729,0.28391564
MAC000002,2013-10-13 19:00:00,0.792,0.42894557
MAC000002,2013-10-13 19:30:00,1.5779999,0.50429934
MAC000002,2013-10-13 20:00:00,0.243,0.3859543
MAC000002,2013-10-13 20:30:00,0.261,0.36894482
MAC000002,2013-10-13 21:00:00,0.232,0.32492396
MAC000002,2013-10-13 21:30:00,0.271,0.32874388
