LCLid,avg_peak_kwh,shiftable_kwh_day,monthly_savings_gbp,avg_consumption,weekend_usage,holiday_usage,Acorn_grouped,stdorToU,anomaly_count,usage_pattern,recommendation
MAC004179,2.408513250784667,2.1676619257062004,41.11,2.111239230527941,0.2841424572917672,0.023163787279220152,Affluent,Std,958,High Consumption,Shift approximately 2.17 kWh/day from peak to off-peak hours. Estimated monthly saving: £41.11. 958 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001145,1.8064791973617453,1.6258312776255708,30.83,1.351922107287732,0.2848436756070465,0.022821774321536262,Affluent,Std,555,High Consumption,Shift approximately 1.63 kWh/day from peak to off-peak hours. Estimated monthly saving: £30.83. 555 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000450,1.6975179423046252,1.5277661480741624,28.97,1.5155692313027413,0.2874119938083587,0.026364408049133668,Affluent,Std,408,High Consumption,Shift approximately 1.53 kWh/day from peak to off-peak hours. Estimated monthly saving: £28.97. 408 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000985,1.520586597314257,1.3685279375828312,25.95,1.350929205873858,0.28480833830408436,0.024110758798229368,Affluent,ToU,1018,High Consumption,Shift approximately 1.37 kWh/day from peak to off-peak hours. Estimated monthly saving: £25.95. 1018 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000557,1.4182326661376954,1.2764093995239258,24.2,1.363733335640783,0.2856270420470854,0.02342056245992244,Affluent,Std,684,High Consumption,Shift approximately 1.28 kWh/day from peak to off-peak hours. Estimated monthly saving: £24.20. 684 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002590,1.3164629479719188,1.1848166531747268,22.47,0.8739481229107752,0.2855192588980985,0.02340321794246709,Affluent,Std,498,Balanced Users,Shift approximately 1.18 kWh/day from peak to off-peak hours. Estimated monthly saving: £22.47. 498 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002613,1.2451198726282051,1.1206078853653847,21.25,0.9012336975987792,0.2851750722775458,0.023128814648249278,Affluent,Std,154,Balanced Users,Shift approximately 1.12 kWh/day from peak to off-peak hours. Estimated monthly saving: £21.25. 154 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005353,1.1962520817708333,1.0766268735937499,20.42,0.9422415522369579,0.2846948417999935,0.021897096679592037,Affluent,Std,791,Balanced Users,Shift approximately 1.08 kWh/day from peak to off-peak hours. Estimated monthly saving: £20.42. 791 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003449,1.1800142962962963,1.0620128666666666,20.14,1.0250034559173884,0.28487213887872503,0.021466032442980853,Affluent,Std,460,Balanced Users,Shift approximately 1.06 kWh/day from peak to off-peak hours. Estimated monthly saving: £20.14. 460 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004319,1.1252707032091096,1.0127436328881987,19.2,1.0201210303693393,0.2858900074450523,0.023306250606933608,Affluent,Std,913,Balanced Users,Shift approximately 1.01 kWh/day from peak to off-peak hours. Estimated monthly saving: £19.20. 913 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003992,1.0557234218992249,0.9501510797093025,18.02,0.716546805574418,0.2857192350332594,0.021618625277161862,ACORN-U,Std,472,Balanced Users,Shift approximately 0.95 kWh/day from peak to off-peak hours. Estimated monthly saving: £18.02. 472 anomalous readings detected. Inspect high-consumption appliances.
MAC003668,1.0517022625083168,0.9465320362574849,17.95,0.7715128377387541,0.28363363988181933,0.021971619990845157,Affluent,Std,337,Balanced Users,Shift approximately 0.95 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.95. 337 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
